Job Title,Company,Industry,Location,Experience Required,Skills Required,Job Link
Data Analyst Returnship,Meta,Software Development,"Austin, USA",3+ years,"SQL, Excel, Tableau",https://careers.airbnb.com/devops-engineer-returnship
Software Engineer Returnship,Meta,AI/ML,Remote,5+ years,"Network Security, SIEM, Python",https://careers.tesla.com/cloud-engineer-returnship
AI/ML Engineer Returnship,Airbnb,DevOps,"Chicago, USA",1+ years,"AWS, Docker, Kubernetes",https://careers.meta.com/software-engineer-returnship
Cybersecurity Analyst Returnship,Airbnb,Tech,"Seattle, USA",1+ years,"Product Strategy, Agile, UX Research",https://careers.netflix.com/devops-engineer-returnship
Cybersecurity Analyst Returnship,Salesforce,Design,"Austin, USA",1+ years,"SQL, Excel, Tableau",https://careers.google.com/software-engineer-returnship
Cloud Engineer Returnship,Amazon,Software Development,Remote,1+ years,"Figma, Adobe XD, UX Research",https://careers.uber.com/frontend-developer-returnship
Data Analyst Returnship,Salesforce,Software Development,"Toronto, Canada",2+ years,"React, HTML, CSS, JavaScript",https://careers.microsoft.com/ai/ml-engineer-returnship
DevOps Engineer Returnship,Uber,Design,"Seattle, USA",2+ years,"Python, Java, C++",https://careers.google.com/cybersecurity-analyst-returnship
Data Analyst Returnship,Salesforce,AI/ML,"San Diego, USA",3+ years,"Python, Java, C++",https://careers.tesla.com/ux-designer-returnship
UX Designer Returnship,Netflix,DevOps,"New York, USA",3+ years,"React, HTML, CSS, JavaScript",https://careers.tesla.com/frontend-developer-returnship
Backend Developer Returnship,Netflix,Software Development,"Los Angeles, USA",5+ years,"AWS, Docker, Kubernetes",https://careers.tesla.com/backend-developer-returnship
Software Engineer Returnship,Uber,Design,"Los Angeles, USA",3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.tesla.com/backend-developer-returnship
Software Engineer Returnship,Uber,Cloud Computing,"San Francisco, USA",1+ years,"SQL, Excel, Tableau",https://careers.uber.com/cybersecurity-analyst-returnship
Data Analyst Returnship,Tesla,Tech,"Chicago, USA",3+ years,"AWS, Docker, Kubernetes",https://careers.amazon.com/product-manager-returnship
Cybersecurity Analyst Returnship,Salesforce,Cybersecurity,"Toronto, Canada",3+ years,"Product Strategy, Agile, UX Research",https://careers.amazon.com/cybersecurity-analyst-returnship
Cybersecurity Analyst Returnship,Netflix,Design,"Chicago, USA",2+ years,"Network Security, SIEM, Python",https://careers.uber.com/backend-developer-returnship
DevOps Engineer Returnship,IBM,DevOps,"Los Angeles, USA",1+ years,"React, HTML, CSS, JavaScript",https://careers.netflix.com/backend-developer-returnship
UX Designer Returnship,IBM,Design,"San Diego, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.amazon.com/ai/ml-engineer-returnship
Software Engineer Returnship,Airbnb,Design,"San Francisco, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.amazon.com/cloud-engineer-returnship
DevOps Engineer Returnship,Tesla,AI/ML,Remote,5+ years,"Product Strategy, Agile, UX Research",https://careers.google.com/data-analyst-returnship
Cybersecurity Analyst Returnship,IBM,Product Management,"Seattle, USA",3+ years,"Network Security, SIEM, Python",https://careers.google.com/cloud-engineer-returnship
DevOps Engineer Returnship,Tesla,Cybersecurity,"New York, USA",5+ years,"Python, Java, C++",https://careers.salesforce.com/backend-developer-returnship
Backend Developer Returnship,Google,Product Management,"Toronto, Canada",5+ years,"Java, Spring Boot, PostgreSQL",https://careers.amazon.com/data-analyst-returnship
